date, pm25, pm10, o3, no2, so2, co,location
2024-09-30, 32, 16, , , , ,"public-relations department, bangkok"
2024-04-01, 76, 37, , , , ,"public-relations department, bangkok"
2024-04-02, 75, 38, , , , ,"public-relations department, bangkok"
2024-04-03, 78, 33, , , , ,"public-relations department, bangkok"
2024-04-04, 72, 34, , , , ,"public-relations department, bangkok"
2024-04-05, 72, 34, , , , ,"public-relations department, bangkok"
2024-04-06, 76, 29, , , , ,"public-relations department, bangkok"
2024-04-07, 64, 28, , , , ,"public-relations department, bangkok"
2024-04-08, 61, 22, , , , ,"public-relations department, bangkok"
2024-04-09, 43, 31, , , , ,"public-relations department, bangkok"
2024-04-10, 63, 56, , , , ,"public-relations department, bangkok"
2024-04-11, 126, 36, , , , ,"public-relations department, bangkok"
2024-04-12, 77, 35, , , , ,"public-relations department, bangkok"
2024-04-13, 75, 34, , , , ,"public-relations department, bangkok"
2024-04-14, 75, 34, , , , ,"public-relations department, bangkok"
2024-04-15, 72, 28, , , , ,"public-relations department, bangkok"
2024-04-16, 63, 30, , , , ,"public-relations department, bangkok"
2024-04-17, 63, 34, , , , ,"public-relations department, bangkok"
2024-04-18, 68, 42, , , , ,"public-relations department, bangkok"
2024-04-19, 85, 48, , , , ,"public-relations department, bangkok"
2024-04-20, 104, 51, , , , ,"public-relations department, bangkok"
2024-04-21, 107, 46, , , , ,"public-relations department, bangkok"
2024-04-22, 95, 38, , , , ,"public-relations department, bangkok"
2024-04-23, 76, 30, , , , ,"public-relations department, bangkok"
2024-04-24, 61, 25, , , , ,"public-relations department, bangkok"
2024-04-25, 44, 28, , , , ,"public-relations department, bangkok"
2024-04-26, 54, 29, , , , ,"public-relations department, bangkok"
2024-04-27, 53, 24, , , , ,"public-relations department, bangkok"
2024-04-28, 45, 23, , , , ,"public-relations department, bangkok"
2024-04-29, 38, 41, , , , ,"public-relations department, bangkok"
2024-04-30, 81, 50, , , , ,"public-relations department, bangkok"
2024-05-01, 107, 50, , , , ,"public-relations department, bangkok"
2024-05-02, 100, 44, , , , ,"public-relations department, bangkok"
2024-05-03, 89, 43, , , , ,"public-relations department, bangkok"
2024-05-04, 84, 48, , , , ,"public-relations department, bangkok"
2024-05-05, 96, 46, , , , ,"public-relations department, bangkok"
2024-05-06, 95, 31, , , , ,"public-relations department, bangkok"
2024-05-07, 59, 30, , , , ,"public-relations department, bangkok"
2024-05-08, 54, 30, , , , ,"public-relations department, bangkok"
2024-05-09, 54, 28, , , , ,"public-relations department, bangkok"
2024-05-10, 53, 29, , , , ,"public-relations department, bangkok"
2024-05-11, 52, 37, , , , ,"public-relations department, bangkok"
2024-05-12, 69, 30, , , , ,"public-relations department, bangkok"
2024-05-13, 52, 28, , , , ,"public-relations department, bangkok"
2024-05-14, 59, 43, , , , ,"public-relations department, bangkok"
2024-05-15, 85, 32, , , , ,"public-relations department, bangkok"
2024-05-16, 62, 26, , , , ,"public-relations department, bangkok"
2024-05-17, 45, 23, , , , ,"public-relations department, bangkok"
2024-05-18, 46, 20, , , , ,"public-relations department, bangkok"
2024-05-19, 40, 24, , , , ,"public-relations department, bangkok"
2024-05-20, 43, 24, , , , ,"public-relations department, bangkok"
2024-05-21, 38, 20, , , , ,"public-relations department, bangkok"
2024-05-22, 38, 20, , , , ,"public-relations department, bangkok"
2024-05-23, 30, 18, , , , ,"public-relations department, bangkok"
2024-05-24, 25, 21, , , , ,"public-relations department, bangkok"
2024-05-25, 26, 19, , , , ,"public-relations department, bangkok"
2024-05-26, 22, 23, , , , ,"public-relations department, bangkok"
2024-05-27, 29, 28, , , , ,"public-relations department, bangkok"
2024-05-28, 38, 27, , , , ,"public-relations department, bangkok"
2024-05-29, 45, 25, , , , ,"public-relations department, bangkok"
2024-05-30, 40, 21, , , , ,"public-relations department, bangkok"
2024-05-31, 28, 16, , , , ,"public-relations department, bangkok"
2024-06-01, 16, 18, , , , ,"public-relations department, bangkok"
2024-06-02, 21, 24, , , , ,"public-relations department, bangkok"
2024-06-03, 34, 29, , , , ,"public-relations department, bangkok"
2024-06-04, 49, 22, , , , ,"public-relations department, bangkok"
2024-06-05, 38, 22, , , , ,"public-relations department, bangkok"
2024-06-06, 31, 24, , , , ,"public-relations department, bangkok"
2024-06-07, 42, 25, , , , ,"public-relations department, bangkok"
2024-06-08, 43, 20, , , , ,"public-relations department, bangkok"
2024-06-09, 21, 18, , , , ,"public-relations department, bangkok"
2024-06-10, 21, 20, , , , ,"public-relations department, bangkok"
2024-06-11, 27, 22, , , , ,"public-relations department, bangkok"
2024-06-12, 29, 27, , , , ,"public-relations department, bangkok"
2024-06-13, 44, 23, , , , ,"public-relations department, bangkok"
2024-06-14, 41, 26, , , , ,"public-relations department, bangkok"
2024-06-15, 45, 21, , , , ,"public-relations department, bangkok"
2024-06-16, 41, 24, , , , ,"public-relations department, bangkok"
2024-06-17, 34, 25, , , , ,"public-relations department, bangkok"
2024-06-18, 46, 26, , , , ,"public-relations department, bangkok"
2024-06-19, 42, 21, , , , ,"public-relations department, bangkok"
2024-06-20, 33, 21, , , , ,"public-relations department, bangkok"
2024-06-21, 26, 19, , , , ,"public-relations department, bangkok"
2024-06-22, 24, 19, , , , ,"public-relations department, bangkok"
2024-06-23, 26, 21, , , , ,"public-relations department, bangkok"
2024-06-24, 27, 20, , , , ,"public-relations department, bangkok"
2024-06-25, 24, 20, , , , ,"public-relations department, bangkok"
2024-06-26, 21, 25, , , , ,"public-relations department, bangkok"
2024-06-27, 48, 18, , , , ,"public-relations department, bangkok"
2024-06-28, 35, 19, , , , ,"public-relations department, bangkok"
2024-06-29, 27, 21, , , , ,"public-relations department, bangkok"
2024-06-30, 27, 19, , , , ,"public-relations department, bangkok"
2024-01-01, 64, 33, 20, , , ,"public-relations department, bangkok"
2024-01-02, 66, 32, 24, , , ,"public-relations department, bangkok"
2024-01-03, 70, 36, 19, , , ,"public-relations department, bangkok"
