,temp_avg,dew_avg,hum_avg,wind_speed_avg,pressure_avg,precip,month,year
0,27.5,25.11111111111111,88.2,4.82802,1009.14422,0.0,9,2021
1,28.111111111111107,25.11111111111111,85.1,5.9545580000000005,1009.14422,0.0,9,2021
2,28.5,23.388888888888886,75.0,12.87472,1005.75783,0.0,9,2021
3,28.333333333333332,23.333333333333332,76.0,9.495106,1009.14422,0.0,9,2021
4,27.666666666666668,24.72222222222222,84.7,8.85137,1009.14422,0.0,9,2021
5,29.27777777777778,23.5,73.1,8.690436,1009.14422,0.0,9,2021
6,27.555555555555554,25.500000000000004,88.7,11.104446000000001,1009.14422,0.0,9,2021
7,27.055555555555557,25.444444444444443,91.3,8.529501999999999,1005.75783,0.0,9,2021
8,27.666666666666668,25.72222222222222,89.7,7.0810960000000005,1005.75783,0.0,9,2021
9,26.888888888888893,26.0,94.9,6.115492,1005.75783,0.0,9,2021
10,28.111111111111107,24.0,79.9,10.943512,1009.14422,0.0,9,2021
11,29.833333333333332,22.77777777777778,66.9,17.059003999999998,1005.75783,0.0,9,2021
12,30.166666666666668,23.111111111111107,66.2,13.196587999999998,1005.75783,0.0,9,2021
13,28.944444444444443,23.5,72.8,7.885766,1005.75783,0.0,9,2021
14,28.111111111111107,24.88888888888889,83.1,6.115492,1009.14422,0.0,9,2021
15,27.83333333333333,25.444444444444443,87.3,9.495106,1009.14422,0.0,9,2021
16,29.27777777777778,24.333333333333332,76.5,8.529501999999999,1009.14422,0.0,9,2021
17,29.555555555555557,25.166666666666668,78.8,7.563898,1009.14422,0.0,9,2021
18,28.111111111111107,25.222222222222225,85.1,7.724831999999999,1009.14422,0.0,9,2021
19,27.38888888888889,24.944444444444446,87.2,7.0810960000000005,1009.14422,0.0,9,2021
20,26.944444444444443,24.944444444444446,89.8,10.299776000000001,1005.75783,0.0,9,2021
21,26.833333333333332,25.166666666666668,91.3,9.65604,1005.75783,0.0,9,2021
22,27.333333333333332,25.33333333333333,89.2,7.402963999999999,1009.14422,0.0,9,2021
23,27.944444444444443,24.61111111111111,83.4,10.299776000000001,1009.14422,0.0,9,2021
24,26.27777777777778,24.944444444444446,92.9,11.426314,1005.75783,0.0,9,2021
25,26.722222222222218,24.499999999999996,88.5,11.426314,1005.75783,0.0,9,2021
26,27.38888888888889,24.72222222222222,87.0,6.115492,1009.14422,0.0,9,2021
27,28.277777777777782,25.27777777777778,84.8,7.563898,1009.14422,0.0,9,2021
28,30.166666666666668,25.166666666666668,76.0,7.402963999999999,1009.14422,0.0,9,2021
29,29.166666666666668,25.444444444444443,80.6,8.529501999999999,1009.14422,0.0,9,2021
