date,min,max,median,q1,q3,stdev,count
2020-02-23T00:00:00.000Z,22.8,89.72,52.47,33.21,59.25,14.775,384
2020-02-24T00:00:00.000Z,57.24,171.54,71.23,65.64,75.95,13.421,188
2020-02-25T00:00:00.000Z,42.48,78.36,49.32,46.63,57.05,8.924,121
2020-02-26T00:00:00.000Z,38.52,50.76,43.94,41.83,46.31,2.831,120
2020-02-27T00:00:00.000Z,14.63,54.5,21.64,18.13,25.51,6.65,164
2020-02-28T00:00:00.000Z,16.52,42.06,22.61,20.62,30.98,6.738,199
2020-02-29T00:00:00.000Z,16.6,45.89,24.58,22.48,29.36,6.003,314
2020-03-01T00:00:00.000Z,21.62,234.15,29.97,26.6,33.45,17.146,434
2020-03-02T00:00:00.000Z,16.45,48.51,21.85,19.64,26.24,4.823,146
2020-03-03T00:00:00.000Z,9.46,18.18,12.32,11.4,13.44,1.578,178
2020-03-04T00:00:00.000Z,10.19,30.1,13.79,12.47,14.68,2.462,152
2020-03-05T00:00:00.000Z,10.13,17.8,13.68,12.64,14.92,1.616,158
2020-03-06T00:00:00.000Z,12.16,38.67,23.66,15.84,27.94,6.769,215
2020-03-07T00:00:00.000Z,9.39,31.25,16.34,14.06,18.48,3.553,479
2020-03-08T00:00:00.000Z,15.09,58.54,27.37,25.13,31.14,4.598,448
2020-03-09T00:00:00.000Z,13.48,47.15,21.2,19.07,24.81,6.305,179
2020-03-10T00:00:00.000Z,17.57,85.06,23.14,21.71,28.88,9.357,183
2020-03-11T00:00:00.000Z,29.92,69.98,48.49,35.02,53.19,9.334,203
2020-03-12T00:00:00.000Z,15.3,29.4,18.38,17.55,19.41,1.987,169
2020-03-13T00:00:00.000Z,11.53,42.25,20.14,15.66,22.31,4.244,169
2020-03-14T00:00:00.000Z,12.68,41.9,19.91,17.38,22.08,3.964,373
2020-03-15T00:00:00.000Z,28.9,69.72,52.42,38.54,57.95,10.843,195
2020-03-16T00:00:00.000Z,13.29,37.93,20.78,19.16,27.63,4.874,211
2020-03-17T00:00:00.000Z,19.5,77.25,24.59,22.98,26.18,5.785,202
2020-03-18T00:00:00.000Z,22.02,44.88,25.75,24.25,26.68,2.502,115
2020-03-19T00:00:00.000Z,14.92,36.26,21.4,19.34,23.72,3.385,185
2020-03-20T00:00:00.000Z,17.27,28.45,22.01,20.37,23.37,2.133,177
2020-03-21T00:00:00.000Z,10.16,35.36,20.19,17.68,22.44,3.776,445
2020-03-22T00:00:00.000Z,8.03,48.02,14.5,12.93,16.12,3.24,344
2020-03-23T00:00:00.000Z,9.93,36.35,14.89,13.7,15.83,2.822,122
2020-03-24T00:00:00.000Z,7.53,781.23,10.25,9.3,11.25,84.972,123
2020-03-25T00:00:00.000Z,7.25,753.95,13.48,11.27,15.64,110.185,144
2020-03-26T00:00:00.000Z,7.65,15.48,11.04,10.02,12.15,1.458,184
2020-03-27T00:00:00.000Z,8.55,16.55,12.05,10.96,13.14,1.486,112
2020-03-28T00:00:00.000Z,12.02,30.97,18.77,16.09,21.38,4.07,170
2020-03-29T00:00:00.000Z,6.05,63.68,18.01,11.32,23.82,7.627,290
2020-03-30T00:00:00.000Z,16.39,28.95,22.86,20.61,25.59,3.11,113
2020-03-31T00:00:00.000Z,15.13,21.94,18.42,17.23,19.51,1.573,97
2020-04-01T00:00:00.000Z,6.08,13.83,9.27,8.52,10.13,1.273,92
2020-04-02T00:00:00.000Z,8.41,22.48,10.6,9.96,11.48,2.583,126
2020-04-03T00:00:00.000Z,6.66,15.48,10.16,9.41,11.07,1.312,173
2020-04-04T00:00:00.000Z,8,29.45,13.66,10.98,19.04,4.713,219
2020-04-05T00:00:00.000Z,9,26.5,14.6,12.69,17.5,3.505,515
2020-04-06T00:00:00.000Z,8.85,44.02,14.67,13.09,16.77,3.944,369
2020-04-07T00:00:00.000Z,4.97,17.45,8.86,8.16,10.18,1.902,156
2020-04-08T00:00:00.000Z,6.55,13,8.03,7.42,9.03,1.884,8
2020-04-09T00:00:00.000Z,13.19,29.81,16.57,15.48,18.01,2.086,118
2020-04-10T00:00:00.000Z,29.35,57.3,35.69,33.29,38.77,4.599,193
2020-04-11T00:00:00.000Z,17.25,42,21.32,19.7,33.67,7.805,135
2020-04-12T00:00:00.000Z,9.86,141.96,19.3,14.6,20.91,10.342,516
2020-04-13T00:00:00.000Z,46.9,113.43,84.68,63.1,95.1,17.779,203
2020-04-14T00:00:00.000Z,25.8,1102.45,36.36,31.7,39.17,99.433,210
2020-04-15T00:00:00.000Z,16.72,19.3,16.82,16.72,19.3,1.193,3
2020-04-16T00:00:00.000Z,9.89,24.42,14.69,13.36,16.2,2.306,175
2020-04-17T00:00:00.000Z,5.64,27.71,9.66,8.48,14.82,5.454,227
2020-04-18T00:00:00.000Z,4.01,55.94,11.82,9.75,16.7,5.616,552
2020-04-19T00:00:00.000Z,8.49,1229.74,13.63,11.91,15,94.62,454
2020-04-20T00:00:00.000Z,5.85,420.88,9.55,8.43,11.95,33.659,189
2020-04-21T00:00:00.000Z,12.79,47.72,16.85,15.38,18.34,6.629,161
2020-04-22T00:00:00.000Z,9.69,27.06,14.5,12.42,15.88,4.07,130
2020-04-23T00:00:00.000Z,6.77,37.22,13.91,10.96,16.48,7.433,186
2020-04-24T00:00:00.000Z,10.73,60.66,16.45,12.99,25.41,12.866,209
2020-04-25T00:00:00.000Z,4.61,1210.98,27.05,21.52,31.66,216.918,306
2020-04-26T00:00:00.000Z,14.52,218.18,29.34,23.38,38.97,16.75,510
2020-04-27T00:00:00.000Z,17.2,27.42,21.65,20.37,23.08,2.075,211
2020-04-28T00:00:00.000Z,24.54,97.48,33.29,30.38,40.28,14.423,197
2020-04-29T00:00:00.000Z,20.84,62.8,43.76,26.65,52.03,12.857,213
2020-04-30T00:00:00.000Z,18.01,48.39,23.16,21.55,25.05,5.87,213
2020-05-01T00:00:00.000Z,8.59,48.92,17.39,13.24,20.6,7.031,503
2020-05-02T00:00:00.000Z,8.46,1215.05,15.58,13.07,21,373.394,362
2020-05-03T00:00:00.000Z,7.6,261.24,13.62,11.96,15.19,15.242,544
2020-05-04T00:00:00.000Z,7.35,1226.86,15.73,11.49,18.07,117.31,423
2020-05-05T00:00:00.000Z,10.9,540.71,13.96,12.82,15.45,67.35,215
2020-05-06T00:00:00.000Z,5.75,1131.97,9.69,7.96,12.75,141.571,416
2020-05-07T00:00:00.000Z,8.6,23.51,17.22,11.38,18.64,4.014,125
2020-05-08T00:00:00.000Z,3.12,17.88,5.88,5.2,6.7,1.693,183
2020-05-09T00:00:00.000Z,2.06,12.74,5.28,3.92,6.82,2.1,170
2020-05-10T00:00:00.000Z,2.8,96.08,5.65,4.79,7.16,6.493,214
2020-05-11T00:00:00.000Z,24.9,47.42,30.08,27.46,33.06,6.207,14
2020-05-12T00:00:00.000Z,8,27.67,12.52,9.78,13.43,2.889,188
2020-05-13T00:00:00.000Z,6.28,45.65,8.55,7.78,23.38,10.516,190
2020-05-14T00:00:00.000Z,7.27,138.91,10.29,8.86,13.9,17.134,176
2020-05-15T00:00:00.000Z,7.72,32.5,10.13,9.3,11.08,4.279,224
2020-05-16T00:00:00.000Z,4.96,1210.35,10.44,6.98,14.02,182.952,343
2020-05-17T00:00:00.000Z,6.16,48.44,11.1,8.77,13.37,4.758,510
2020-05-18T00:00:00.000Z,2.98,13.02,5.54,4.86,6.49,1.563,176
2020-05-19T00:00:00.000Z,5.24,25.34,14.6,9.97,17.26,4.236,213
2020-05-20T00:00:00.000Z,3.96,11.42,6.93,5.82,8.86,1.931,143
2020-05-21T00:00:00.000Z,11.55,28.66,15.8,14.66,17.73,2.611,163
2020-05-22T00:00:00.000Z,18.38,1177.54,26.04,24.01,326.77,264.273,204
2020-05-23T00:00:00.000Z,20.14,1240.43,28.27,25.2,31.27,233.481,209
2020-05-24T00:00:00.000Z,6.6,46.88,24.84,21.26,27.83,5.887,428
2020-05-25T00:00:00.000Z,8.05,37.58,23.13,17.67,27.58,6.544,198
2020-05-26T00:00:00.000Z,9.23,78.37,15.43,13.78,17.73,6.76,161
2020-05-27T00:00:00.000Z,2.33,19.85,4.48,3.58,5.85,2.549,176
2020-05-28T00:00:00.000Z,2.98,17.14,6.3,4.75,9.69,3.187,203
2020-05-29T00:00:00.000Z,1.52,61.37,6.08,4.37,8.33,5.806,211
2020-05-30T00:00:00.000Z,0.95,22.13,6.12,4.47,8.58,3.504,510
2020-05-31T00:00:00.000Z,4.12,16.32,6.89,5.7,8.13,1.94,142
2020-06-01T00:00:00.000Z,6.58,10.63,7.5,6.96,9.15,1.539,4
2020-06-02T00:00:00.000Z,2.04,11.95,5.35,4.19,6.64,1.791,197
2020-06-03T00:00:00.000Z,3.22,65.22,11.19,8.43,13.32,6.984,250
2020-06-04T00:00:00.000Z,1.92,23.7,12.06,7.65,14.25,4.576,162
2020-06-05T00:00:00.000Z,7.7,178.07,12.95,11.01,15.6,13.851,152
2020-06-06T00:00:00.000Z,1.8,23.8,9.44,6.42,12.73,4.165,335
2020-06-07T00:00:00.000Z,1.2,41.05,4.75,3.19,7.09,4.975,373
2020-06-08T00:00:00.000Z,1.98,18.23,7.75,6.16,9.84,2.78,204
2020-06-09T00:00:00.000Z,3.12,67.31,10.08,7.75,13.39,7.656,133
2020-06-10T00:00:00.000Z,2.33,20.57,4.9,3.84,6.48,2.611,197
2020-06-11T00:00:00.000Z,2.87,13.9,6.05,5.08,7.8,2.048,183
2020-06-12T00:00:00.000Z,2.98,13.78,5.83,4.87,7.6,2.275,215
2020-06-13T00:00:00.000Z,2.4,49.85,6.49,5.15,8.1,3.405,462
2020-06-14T00:00:00.000Z,3.72,84.55,10.19,8.43,12.32,7.574,268
2020-06-15T00:00:00.000Z,2.27,31.52,6.92,4.7,9.19,3.621,199
2020-06-16T00:00:00.000Z,4.12,31.17,8.41,7.03,10.25,3.315,206
2020-06-17T00:00:00.000Z,4.65,38.42,15.85,13.18,22.85,7.449,161
2020-06-18T00:00:00.000Z,4.95,67.7,9.6,7.58,12.23,6.713,175
2020-06-19T00:00:00.000Z,5.4,53.47,10.35,8.82,11.85,4.232,209
2020-06-20T00:00:00.000Z,2.2,136.25,7.72,5.17,11.04,7.012,513
2020-06-21T00:00:00.000Z,2.65,45.45,8.5,7.2,10.29,3.917,405
2020-06-22T00:00:00.000Z,7.08,23.45,11.8,10.39,13.04,2.83,93
2020-06-23T00:00:00.000Z,5.05,28.67,8.33,7.03,10.53,3.931,195
2020-06-24T00:00:00.000Z,2.87,24.85,5.67,4.62,7.17,2.765,195
2020-06-25T00:00:00.000Z,1.82,68.5,6.45,3.77,8.52,5.529,181
2020-06-26T00:00:00.000Z,2.33,78.25,6.08,4.65,7.67,7.165,218
2020-06-27T00:00:00.000Z,1.62,54,4.8,3.52,6.55,3.956,382
2020-06-28T00:00:00.000Z,2.04,40.83,6.42,4.65,8.65,3.739,399
2020-06-29T00:00:00.000Z,2.8,11.97,6.45,5.08,7.81,2.032,164
2020-06-30T00:00:00.000Z,1.5,12.37,3.11,2.45,4.78,2.207,144
2020-07-01T00:00:00.000Z,4.09,12.8,7.57,6.16,8.59,1.855,136
2020-07-02T00:00:00.000Z,4.9,15,9.05,7.87,10.4,1.965,155
2020-07-03T00:00:00.000Z,6.08,19.14,10.3,9.02,11.93,2.432,143
2020-07-04T00:00:00.000Z,6.85,34.53,18.2,14.58,24.65,6.302,73
2020-07-05T00:00:00.000Z,2.4,33.13,5.72,4.7,7.45,3.428,152
2020-07-06T00:00:00.000Z,2.92,20.32,8.36,6.65,10.28,2.809,222
2020-07-07T00:00:00.000Z,4,14.68,7.67,6.41,9.14,2.132,133
2020-07-08T00:00:00.000Z,3.62,20.05,6.67,5.83,7.78,2.117,147
2020-07-09T00:00:00.000Z,2.42,16.2,5.66,4.25,7.08,2.468,154
2020-07-10T00:00:00.000Z,3.08,14.63,6.75,5.35,8.43,2.297,187
2020-07-11T00:00:00.000Z,1.67,19.7,6.55,4.84,9.05,3.106,285
2020-07-12T00:00:00.000Z,1.65,18.48,5.87,4.3,7.72,2.756,319
2020-07-13T00:00:00.000Z,1.3,94.77,5.58,3.35,11.6,17.942,143
