date,min,max,median,q1,q3,stdev,count
2020-02-23T00:00:00.000Z,14.61,56.19,40.82,23.88,45.21,11.933,384
2020-02-24T00:00:00.000Z,47.76,124.04,55.6,52.48,60.47,11.696,188
2020-02-25T00:00:00.000Z,33.76,59.36,37.52,36.54,41.81,6.479,121
2020-02-26T00:00:00.000Z,29.31,38.9,34.74,32.85,36.04,2.111,120
2020-02-27T00:00:00.000Z,11.12,28.77,14.81,12.62,17.07,4.191,164
2020-02-28T00:00:00.000Z,13.86,30.28,18.35,16.16,25.04,4.909,199
2020-02-29T00:00:00.000Z,9.49,32.49,13.18,11.52,20.95,6.843,314
2020-03-01T00:00:00.000Z,15.42,90.2,21.62,17.44,26.06,7.399,434
2020-03-02T00:00:00.000Z,12.08,28.52,15.19,13.06,19.62,3.815,146
2020-03-03T00:00:00.000Z,4.5,6.19,5.15,4.91,5.46,0.384,178
2020-03-04T00:00:00.000Z,4.9,14.58,5.64,5.49,5.9,1.185,152
2020-03-05T00:00:00.000Z,5.74,9.16,6.87,6.52,7.76,0.859,158
2020-03-06T00:00:00.000Z,7.88,24,15.48,9.03,19.3,5.426,215
2020-03-07T00:00:00.000Z,5.99,20.42,11.31,9.96,12.27,2.39,479
2020-03-08T00:00:00.000Z,10.11,32.39,22.12,20.39,26.03,4.395,448
2020-03-09T00:00:00.000Z,11.76,30.12,15.95,14.24,18.16,4.145,179
2020-03-10T00:00:00.000Z,13.39,46.5,17.13,16.36,19.88,4.851,183
2020-03-11T00:00:00.000Z,23.44,45.34,38.64,26.7,41.44,7.358,203
2020-03-12T00:00:00.000Z,13.22,20.34,14.68,14.24,15.17,0.976,169
2020-03-13T00:00:00.000Z,9.48,33.42,15.46,11.51,17.02,3.278,169
2020-03-14T00:00:00.000Z,10.64,30.65,15.86,13.4,18.35,3.368,373
2020-03-15T00:00:00.000Z,25.92,58.53,45.39,34.35,50.04,9.158,195
2020-03-16T00:00:00.000Z,11.04,31.17,13.11,12.58,23.42,5.783,211
2020-03-17T00:00:00.000Z,15.1,48.89,16.59,16.07,17.11,3.763,202
2020-03-18T00:00:00.000Z,15.48,32.4,17.28,16.42,18,1.812,115
