,temp_avg,dew_avg,hum_avg,wind_speed_avg,pressure_avg,precip,month,year
0,26.944444444444443,16.444444444444443,54.5,13.840323999999999,1015.917,0.0,2,2015
1,26.611111111111114,16.166666666666668,53.3,11.748182,1015.917,0.0,2,2015
2,28.055555555555557,15.777777777777779,49.4,12.07005,1015.917,0.0,2,2015
3,27.88888888888889,15.88888888888889,50.1,9.495106,1015.917,0.0,2,2015
4,27.77777777777778,14.277777777777779,44.8,12.230984,1015.917,0.0,2,2015
5,25.888888888888886,13.055555555555555,44.8,15.28873,1015.917,0.0,2,2015
6,26.611111111111114,14.444444444444445,50.0,8.0467,1012.53061,0.0,2,2015
7,26.666666666666668,16.61111111111111,58.2,8.85137,1012.53061,0.0,2,2015
8,27.055555555555557,15.666666666666666,51.8,13.035654,1015.917,0.0,2,2015
9,26.999999999999996,14.166666666666666,47.3,9.334171999999999,1015.917,0.0,2,2015
10,27.055555555555557,18.72222222222222,61.6,8.690436,1012.53061,0.0,2,2015
11,27.722222222222225,21.38888888888889,69.1,12.713786,1012.53061,0.0,2,2015
12,28.166666666666668,20.944444444444443,65.3,17.863674,1012.53061,0.0,2,2015
13,28.000000000000004,21.555555555555557,68.8,18.185542,1009.14422,0.0,2,2015
14,27.38888888888889,21.0,68.8,13.196587999999998,1012.53061,0.0,2,2015
15,28.111111111111107,21.666666666666668,68.5,13.035654,1012.53061,0.0,2,2015
16,27.77777777777778,21.38888888888889,68.8,12.07005,1012.53061,0.0,2,2015
17,28.5,21.5,66.3,13.67939,1012.53061,0.0,2,2015
18,28.166666666666668,20.944444444444443,65.2,14.001257999999998,1012.53061,0.0,2,2015
19,27.88888888888889,21.22222222222222,67.5,12.07005,1012.53061,0.0,2,2015
20,28.055555555555557,21.944444444444443,70.5,13.196587999999998,1012.53061,0.0,2,2015
21,28.61111111111111,21.611111111111114,66.4,15.932466,1012.53061,0.0,2,2015
22,28.166666666666668,21.666666666666668,68.4,11.748182,1012.53061,0.0,2,2015
23,28.72222222222222,22.277777777777775,69.6,13.518456,1012.53061,0.0,2,2015
24,28.944444444444443,21.166666666666664,64.5,12.87472,1009.14422,0.0,2,2015
25,29.333333333333332,21.22222222222222,62.6,15.932466,1009.14422,0.0,2,2015
26,29.5,21.666666666666668,64.8,13.035654,1009.14422,0.0,2,2015
27,29.333333333333332,22.5,67.0,14.966862,1012.53061,0.0,2,2015
