,temp_avg,dew_avg,hum_avg,wind_speed_avg,pressure_avg,precip,month,year
0,28.22222222222222,25.944444444444443,87.7,10.46071,1005.75783,0.0,8,2018
1,29.27777777777778,26.0,82.3,10.299776000000001,1005.75783,0.0,8,2018
2,29.0,25.888888888888886,82.5,9.173238,1009.14422,0.0,8,2018
3,27.722222222222225,25.444444444444443,87.3,7.24203,1009.14422,0.0,8,2018
4,27.555555555555554,24.333333333333332,83.4,8.529501999999999,1009.14422,0.0,8,2018
5,27.722222222222225,25.055555555555554,86.3,7.885766,1009.14422,0.0,8,2018
6,28.61111111111111,24.833333333333332,81.0,8.85137,1009.14422,0.0,8,2018
7,28.22222222222222,25.555555555555557,85.8,7.724831999999999,1009.14422,0.0,8,2018
8,27.944444444444443,24.388888888888893,82.0,9.012303999999999,1009.14422,0.0,8,2018
9,28.055555555555557,22.77777777777778,74.7,9.977908000000001,1005.75783,0.0,8,2018
10,28.22222222222222,24.333333333333332,80.2,7.885766,1005.75783,0.0,8,2018
11,28.000000000000004,25.555555555555557,87.0,9.334171999999999,1005.75783,0.0,8,2018
12,28.666666666666668,23.833333333333336,76.2,9.65604,1005.75783,0.0,8,2018
13,27.61111111111111,25.166666666666668,88.1,8.690436,1005.75783,0.0,8,2018
14,27.38888888888889,24.61111111111111,85.6,6.43736,1005.75783,0.0,8,2018
15,26.888888888888893,23.944444444444443,85.2,6.43736,1009.14422,0.0,8,2018
16,27.22222222222222,23.833333333333336,82.7,7.563898,1009.14422,0.0,8,2018
17,26.166666666666664,24.166666666666668,89.5,8.0467,1005.75783,0.0,8,2018
18,27.22222222222222,24.61111111111111,86.2,8.85137,1005.75783,0.0,8,2018
19,27.333333333333332,24.944444444444446,87.3,8.0467,1009.14422,0.0,8,2018
20,28.166666666666668,24.333333333333332,80.5,7.724831999999999,1009.14422,0.0,8,2018
21,27.5,24.444444444444443,85.1,8.0467,1009.14422,0.0,8,2018
22,27.722222222222225,24.333333333333332,83.0,9.495106,1009.14422,0.0,8,2018
23,29.0,22.944444444444443,71.6,10.46071,1005.75783,0.0,8,2018
24,29.0,25.0,80.0,8.85137,1005.75783,0.0,8,2018
25,29.333333333333332,26.166666666666664,83.5,9.173238,1002.3714400000001,0.0,8,2018
26,30.333333333333332,25.555555555555557,76.0,10.299776000000001,1002.3714400000001,0.0,8,2018
27,27.83333333333333,24.499999999999996,82.3,8.0467,1002.3714400000001,0.0,8,2018
28,28.88888888888889,25.27777777777778,81.3,7.563898,1005.75783,0.0,8,2018
29,27.944444444444443,23.88888888888889,79.9,7.724831999999999,1005.75783,0.0,8,2018
