Unnamed: 0,temp_avg,dew_avg,hum_avg,wind_speed_avg,pressure_avg,precip,month,year,location
4,28.16666667,24.27777778,81.3,5.793624,1009.14422,0,11,2023,Thonburi Power Sub Station
5,29.66666667,24.16666667,73.8,7.724832,1009.14422,0,11,2023,Thonburi Power Sub Station
6,27.77777778,24.33333333,83.2,7.563898,1012.53061,0,11,2023,Thonburi Power Sub Station
7,29.22222222,23.72222222,73.7,6.920162,1009.14422,0,11,2023,Thonburi Power Sub Station
8,28.33333333,24.88888889,81.4,8.529502,1009.14422,0,11,2023,Thonburi Power Sub Station
9,28.94444444,25.05555556,80.5,8.368568,1012.53061,0,11,2023,Thonburi Power Sub Station
10,28.88888889,25.33333333,82.5,8.690436,1012.53061,0,11,2023,Thonburi Power Sub Station
11,28.72222222,24.55555556,79.4,10.782578,1012.53061,0,11,2023,Thonburi Power Sub Station
12,29.72222222,24,72.4,9.495106,1012.53061,0,11,2023,Thonburi Power Sub Station
13,29.88888889,23.61111111,70.1,14.805928,1012.53061,0,11,2023,Thonburi Power Sub Station
14,29.61111111,23.11111111,68.8,13.357522,1012.53061,0,11,2023,Thonburi Power Sub Station
15,29.5,22.94444444,68.8,15.28873,1012.53061,0,11,2023,Thonburi Power Sub Station
16,27.16666667,18.66666667,60.3,20.760486,1015.917,0,11,2023,Thonburi Power Sub Station
17,26,15.11111111,51.4,16.737136,1015.917,0,11,2023,Thonburi Power Sub Station
18,25.94444444,16.61111111,56.3,13.67939,1015.917,0,11,2023,Thonburi Power Sub Station
19,26.22222222,17.5,59.6,10.943512,1012.53061,0,11,2023,Thonburi Power Sub Station
20,27.5,18.88888889,60.4,9.334172,1012.53061,0,11,2023,Thonburi Power Sub Station
21,28.22222222,20.27777778,63.1,9.173238,1009.14422,0,11,2023,Thonburi Power Sub Station
22,28.72222222,20.05555556,60.7,9.495106,1009.14422,0,11,2023,Thonburi Power Sub Station
23,28.61111111,20.66666667,62.7,12.230984,1012.53061,0,11,2023,Thonburi Power Sub Station
24,28,18.83333333,58.1,13.357522,1012.53061,0,11,2023,Thonburi Power Sub Station
25,29.05555556,20.94444444,61.5,10.621644,1012.53061,0,11,2023,Thonburi Power Sub Station
26,28.88888889,21.27777778,65.2,17.219938,1012.53061,0,11,2023,Thonburi Power Sub Station
27,27.77777778,17.83333333,54.9,17.219938,1012.53061,0,11,2023,Thonburi Power Sub Station
28,27.16666667,18.66666667,60.5,9.816974,1012.53061,0,11,2023,Thonburi Power Sub Station
29,29.11111111,20.22222222,59,11.26538,1012.53061,0,11,2023,Thonburi Power Sub Station
0,28.88888889,22.88888889,71.4,11.748182,1009.14422,0,3,2018,Thonburi Power Sub Station
1,29.16666667,22.77777778,69.6,16.0934,1009.14422,0,3,2018,Thonburi Power Sub Station
2,29.44444444,23,69.8,16.0934,1009.14422,0,3,2018,Thonburi Power Sub Station
3,29.61111111,23.16666667,69.3,14.805928,988.82588,0,3,2018,Thonburi Power Sub Station
4,29.38888889,23.38888889,71.6,12.230984,1009.14422,0,3,2018,Thonburi Power Sub Station
5,29.94444444,23.38888889,68.6,13.196588,1009.14422,0,3,2018,Thonburi Power Sub Station
6,29.66666667,23.05555556,68,12.713786,1009.14422,0,3,2018,Thonburi Power Sub Station
7,29.16666667,23.11111111,70.9,10.621644,1009.14422,0,3,2018,Thonburi Power Sub Station
8,25.66666667,19.94444444,71.2,13.518456,1012.53061,0,3,2018,Thonburi Power Sub Station
9,26.38888889,16.77777778,56.3,11.26538,1012.53061,0,3,2018,Thonburi Power Sub Station
10,28,17.55555556,54.5,9.012304,1012.53061,0,3,2018,Thonburi Power Sub Station
11,28.5,21,65.5,9.012304,1012.53061,0,3,2018,Thonburi Power Sub Station
12,29.16666667,22.38888889,68.2,14.001258,1012.53061,0,3,2018,Thonburi Power Sub Station
13,29.44444444,22.61111111,67.7,17.863674,1009.14422,0,3,2018,Thonburi Power Sub Station
14,29.38888889,22.5,66.8,17.70274,1009.14422,0,3,2018,Thonburi Power Sub Station
15,29.11111111,22.72222222,69.8,15.932466,1009.14422,0,3,2018,Thonburi Power Sub Station
16,29.11111111,22.38888889,68.8,12.87472,1009.14422,0,3,2018,Thonburi Power Sub Station
17,29.44444444,22.88888889,69,13.518456,1012.53061,0,3,2018,Thonburi Power Sub Station
18,29.83333333,22.94444444,67.8,14.323126,1009.14422,0,3,2018,Thonburi Power Sub Station
19,29.94444444,23.72222222,69.8,15.932466,1009.14422,0,3,2018,Thonburi Power Sub Station
20,29.83333333,22.94444444,66.6,15.449664,1009.14422,0,3,2018,Thonburi Power Sub Station
21,29,21.72222222,65.7,12.552852,1009.14422,0,3,2018,Thonburi Power Sub Station
22,29.88888889,20.5,59.5,14.48406,1009.14422,0,3,2018,Thonburi Power Sub Station
23,30.22222222,21.33333333,61,10.621644,1012.53061,0,3,2018,Thonburi Power Sub Station
24,29.66666667,22.61111111,66,12.713786,1012.53061,0,3,2018,Thonburi Power Sub Station
25,30.11111111,22.16666667,63.1,12.391918,1012.53061,0,3,2018,Thonburi Power Sub Station
26,28.72222222,23,71.8,10.299776,1012.53061,0,3,2018,Thonburi Power Sub Station
27,29.61111111,23.55555556,71.2,15.771532,1009.14422,0,3,2018,Thonburi Power Sub Station
28,29.5,23.5,70.5,18.185542,1009.14422,0,3,2018,Thonburi Power Sub Station
29,30,24.44444444,68.2,16.254334,1009.14422,0,3,2018,Thonburi Power Sub Station
30,29.72222222,23.33333333,69.3,12.552852,1009.14422,0,3,2018,Thonburi Power Sub Station
0,26.94444444,24.16666667,85.8,7.885766,1005.75783,0,8,2022,Thonburi Power Sub Station
1,26.72222222,23.72222222,84.3,12.391918,1005.75783,0,8,2022,Thonburi Power Sub Station
2,28.22222222,24,79.2,13.67939,1009.14422,0,8,2022,Thonburi Power Sub Station
3,29,23.05555556,72.1,8.368568,1009.14422,0,8,2022,Thonburi Power Sub Station
4,27.5,22.83333333,77,7.563898,1005.75783,0,8,2022,Thonburi Power Sub Station
5,29.11111111,23.44444444,72.7,13.518456,1005.75783,0,8,2022,Thonburi Power Sub Station
6,28.94444444,22.77777778,69.6,13.518456,1005.75783,0,8,2022,Thonburi Power Sub Station
7,27.16666667,22.83333333,78.1,8.85137,1005.75783,0,8,2022,Thonburi Power Sub Station
8,27.5,23.16666667,78,7.563898,1005.75783,0,8,2022,Thonburi Power Sub Station
9,29.55555556,22.77777778,67.8,13.357522,1005.75783,0,8,2022,Thonburi Power Sub Station
10,28.44444444,22.55555556,71.2,12.87472,1005.75783,0,8,2022,Thonburi Power Sub Station
11,28.22222222,22.83333333,73.9,10.46071,1005.75783,0,8,2022,Thonburi Power Sub Station
12,28.83333333,22.94444444,72.1,11.748182,1009.14422,0,8,2022,Thonburi Power Sub Station
13,29.61111111,22.66666667,67.6,7.402964,1009.14422,0,8,2022,Thonburi Power Sub Station
14,28.77777778,23,72.3,12.07005,1005.75783,0,8,2022,Thonburi Power Sub Station
15,27.94444444,23.16666667,77.3,11.104446,1005.75783,0,8,2022,Thonburi Power Sub Station
16,28.66666667,23.27777778,74.2,13.840324,1005.75783,0,8,2022,Thonburi Power Sub Station
17,28.88888889,22.66666667,70.7,10.46071,1005.75783,0,8,2022,Thonburi Power Sub Station
18,29,23.16666667,72,9.977908,1005.75783,0,8,2022,Thonburi Power Sub Station
19,28.38888889,22.77777778,72.9,10.943512,1005.75783,0,8,2022,Thonburi Power Sub Station
20,28.38888889,23.27777778,75.8,9.977908,1005.75783,0,8,2022,Thonburi Power Sub Station
21,29.05555556,23.5,73.6,11.104446,1005.75783,0,8,2022,Thonburi Power Sub Station
22,29.66666667,22.66666667,67,9.977908,1005.75783,0,8,2022,Thonburi Power Sub Station
23,30.5,24.22222222,70.2,9.65604,1005.75783,0,8,2022,Thonburi Power Sub Station
24,28.61111111,23.5,74.6,8.207634,1005.75783,0,8,2022,Thonburi Power Sub Station
25,27.38888889,23.33333333,79.7,15.771532,1005.75783,0,8,2022,Thonburi Power Sub Station
26,28.22222222,23.27777778,76,11.748182,1009.14422,0,8,2022,Thonburi Power Sub Station
