,year,month,date,pm25,pm10,o3,no2,so2,co
0,2017,1,2017-01-16 00:00:00.000000000,114.7,49.12903225806452,14.516129032258064,15.387096774193548,1.103448275862069,
1,2017,2,2017-02-14 12:00:00.000000000,121.28571428571429,52.857142857142854,19.178571428571427,17.035714285714285,1.3181818181818181,
2,2017,3,2017-03-16 00:00:00.000000000,90.06451612903226,36.03225806451613,13.35483870967742,9.806451612903226,1.25,
3,2017,4,2017-04-15 12:00:00.000000000,82.23333333333333,34.166666666666664,14.9,9.3,1.0,
4,2017,5,2017-05-16 00:00:00.000000000,72.3225806451613,29.64516129032258,10.064516129032258,11.548387096774194,1.5,
5,2017,6,2017-06-15 12:00:00.000000000,66.56666666666666,30.933333333333334,8.566666666666666,5.966666666666667,1.0,
6,2017,7,2017-07-16 00:00:00.000000000,71.3225806451613,29.161290322580644,6.645161290322581,3.107142857142857,1.0,
7,2017,8,2017-08-16 00:00:00.000000000,69.10344827586206,26.75862068965517,7.032258064516129,8.387096774193548,1.0,
8,2017,9,2017-09-15 19:02:04.137931008,75.10714285714286,28.928571428571427,9.25925925925926,11.357142857142858,1.0,
9,2017,10,2017-10-16 00:00:00.000000000,101.51724137931035,38.86206896551724,10.566666666666666,15.633333333333333,1.0,
10,2017,11,2017-11-15 12:00:00.000000000,107.46153846153847,46.1,13.5,17.766666666666666,1.0,
11,2017,12,2017-12-16 00:00:00.000000000,119.2258064516129,52.354838709677416,17.161290322580644,17.516129032258064,1.1304347826086956,
12,2018,1,2018-01-16 00:00:00.000000000,120.70967741935483,53.806451612903224,14.838709677419354,19.0,1.2,
13,2018,2,2018-02-14 12:00:00.000000000,134.35714285714286,56.107142857142854,17.785714285714285,16.678571428571427,1.0,
14,2018,3,2018-03-16 00:00:00.000000000,91.74193548387096,40.16129032258065,13.806451612903226,11.903225806451612,1.0,
15,2018,4,2018-04-15 12:00:00.000000000,71.16666666666667,35.4,13.966666666666667,10.666666666666666,1.0,
16,2018,5,2018-05-16 00:00:00.000000000,59.16129032258065,29.580645161290324,10.548387096774194,11.387096774193548,1.0,
17,2018,6,2018-06-15 12:00:00.000000000,56.333333333333336,29.5,8.666666666666666,4.777777777777778,1.0,
18,2018,7,2018-07-16 00:00:00.000000000,61.516129032258064,34.903225806451616,6.620689655172414,8.066666666666666,1.0555555555555556,
19,2018,8,2018-08-16 00:00:00.000000000,56.96774193548387,36.96774193548387,6.774193548387097,7.451612903225806,1.1818181818181819,
20,2018,9,2018-09-15 12:00:00.000000000,62.833333333333336,39.766666666666666,10.833333333333334,11.2,1.0,
21,2018,10,2018-10-16 00:00:00.000000000,75.29032258064517,47.935483870967744,13.03225806451613,15.225806451612904,1.0,
22,2018,11,2018-11-15 12:00:00.000000000,101.89655172413794,61.37931034482759,14.620689655172415,18.517241379310345,1.0,
23,2018,12,2018-12-16 00:00:00.000000000,109.93333333333334,61.56666666666667,16.133333333333333,18.266666666666666,1.0,
24,2019,1,2019-01-16 00:00:00.000000000,128.8709677419355,63.483870967741936,15.451612903225806,17.64516129032258,1.05,
25,2019,2,2019-02-14 12:00:00.000000000,73.57142857142857,36.57142857142857,12.75,6.285714285714286,,
26,2019,3,2019-03-16 00:00:00.000000000,74.54838709677419,35.806451612903224,13.64516129032258,3.6451612903225805,1.0,
27,2019,4,2019-04-15 12:00:00.000000000,63.266666666666666,27.866666666666667,10.4,2.65,,
28,2019,5,2019-05-16 00:00:00.000000000,67.83870967741936,38.225806451612904,11.033333333333333,3.466666666666667,1.0,
29,2019,6,2019-06-15 12:00:00.000000000,51.56666666666667,25.933333333333334,8.433333333333334,3.2857142857142856,1.0,
30,2019,7,2019-07-16 00:00:00.000000000,52.58064516129032,29.838709677419356,7.483870967741935,7.129032258064516,1.75,
31,2019,8,2019-08-16 00:00:00.000000000,39.935483870967744,23.129032258064516,5.903225806451613,7.419354838709677,,
32,2019,9,2019-09-15 12:00:00.000000000,67.26666666666667,36.53333333333333,10.266666666666667,13.233333333333333,,
33,2019,10,2019-10-16 00:00:00.000000000,75.96774193548387,37.903225806451616,13.064516129032258,16.0,3.0,
34,2019,11,2019-11-15 12:00:00.000000000,92.43333333333334,48.3,16.266666666666666,18.7,1.0,
35,2019,12,2019-12-15 12:48:00.000000000,105.20689655172414,54.3448275862069,15.10344827586207,18.620689655172413,1.0,
36,2020,1,2020-01-16 00:00:00.000000000,109.38709677419355,53.25806451612903,14.451612903225806,16.193548387096776,1.0,
37,2020,2,2020-02-15 00:00:00.000000000,105.13793103448276,49.89655172413793,16.137931034482758,12.758620689655173,1.0,
38,2020,3,2020-03-15 12:48:00.000000000,63.03448275862069,30.0,9.10344827586207,5.9655172413793105,1.0,
39,2020,4,2020-04-15 12:00:00.000000000,60.333333333333336,27.966666666666665,17.8,5.214285714285714,19.0,
40,2020,5,2020-05-16 00:00:00.000000000,47.483870967741936,22.548387096774192,11.225806451612904,3.4761904761904763,1.0,
41,2020,6,2020-06-15 12:00:00.000000000,47.8,21.333333333333332,9.0,3.1538461538461537,1.0,
42,2020,7,2020-07-16 00:00:00.000000000,53.096774193548384,23.483870967741936,6.923076923076923,3.103448275862069,2.769230769230769,
43,2020,8,2020-08-16 00:00:00.000000000,56.225806451612904,27.29032258064516,6.290322580645161,2.6,2.0,
44,2020,9,2020-09-15 12:00:00.000000000,54.733333333333334,25.133333333333333,7.9,3.3076923076923075,1.0,
45,2020,10,2020-10-16 00:00:00.000000000,69.16666666666667,34.354838709677416,9.838709677419354,4.233333333333333,1.0,
46,2020,11,2020-11-15 12:00:00.000000000,85.96666666666667,43.833333333333336,16.566666666666666,4.821428571428571,1.1578947368421053,
47,2020,12,2020-12-16 00:00:00.000000000,101.03225806451613,52.806451612903224,18.64516129032258,11.935483870967742,2.870967741935484,
48,2021,1,2021-01-16 00:00:00.000000000,113.83870967741936,59.29032258064516,23.322580645161292,11.67741935483871,3.0,
49,2021,2,2021-02-14 12:00:00.000000000,117.78571428571429,55.392857142857146,20.464285714285715,9.0,1.9523809523809523,
50,2021,3,2021-03-16 00:00:00.000000000,83.41935483870968,40.774193548387096,13.96774193548387,4.466666666666667,1.0384615384615385,
51,2021,4,2021-04-15 12:00:00.000000000,72.33333333333333,33.6,12.714285714285714,5.642857142857143,1.0357142857142858,
52,2021,5,2021-05-16 00:00:00.000000000,58.54838709677419,26.70967741935484,13.387096774193548,3.6451612903225805,1.032258064516129,
53,2021,6,2021-06-15 12:00:00.000000000,57.53333333333333,28.033333333333335,9.966666666666667,2.1724137931034484,1.2333333333333334,
54,2021,7,2021-07-16 00:00:00.000000000,51.645161290322584,23.806451612903224,8.548387096774194,2.68,1.2258064516129032,
55,2021,8,2021-08-16 00:00:00.000000000,51.96774193548387,23.35483870967742,9.0,2.7142857142857144,1.1612903225806452,
56,2021,9,2021-09-15 12:00:00.000000000,58.666666666666664,26.766666666666666,7.6,3.8333333333333335,1.5333333333333334,
57,2021,10,2021-10-16 00:00:00.000000000,66.90322580645162,32.32258064516129,11.666666666666666,5.966666666666667,1.5714285714285714,
58,2021,11,2021-11-15 12:00:00.000000000,78.73333333333333,41.43333333333333,15.033333333333333,8.233333333333333,,
59,2021,12,2021-12-16 00:00:00.000000000,104.51612903225806,52.87096774193548,20.93548387096774,11.193548387096774,1.0,
60,2022,1,2022-01-16 00:00:00.000000000,86.96774193548387,43.354838709677416,18.387096774193548,6.161290322580645,1.1428571428571428,
61,2022,2,2022-02-14 12:00:00.000000000,87.92857142857143,42.607142857142854,14.892857142857142,7.444444444444445,,
62,2022,3,2022-03-16 00:00:00.000000000,68.5,29.933333333333334,13.633333333333333,3.6296296296296298,,
63,2022,4,2022-04-15 12:00:00.000000000,89.43333333333334,33.88461538461539,18.733333333333334,4.315789473684211,,
64,2022,5,2022-05-16 00:00:00.000000000,60.74193548387097,25.548387096774192,10.5,1.4137931034482758,,
65,2022,6,2022-06-15 12:00:00.000000000,47.233333333333334,20.7,9.4,1.1538461538461537,,
66,2022,7,2022-07-16 00:00:00.000000000,45.67741935483871,19.483870967741936,7.724137931034483,1.1428571428571428,,
67,2022,8,2022-08-16 00:00:00.000000000,50.096774193548384,20.806451612903224,8.258064516129032,1.2903225806451613,,
68,2022,9,2022-09-15 12:00:00.000000000,53.9,20.133333333333333,8.928571428571429,1.4333333333333333,,
69,2022,10,2022-10-16 00:00:00.000000000,74.3225806451613,33.0,18.857142857142858,2.032258064516129,,
70,2022,11,2022-11-15 12:00:00.000000000,76.23333333333333,32.93333333333333,,2.6666666666666665,,
71,2022,12,2022-12-16 00:00:00.000000000,87.2258064516129,37.38709677419355,,2.774193548387097,,
72,2023,1,2023-01-16 00:00:00.000000000,96.19354838709677,40.38709677419355,,2.5,,
73,2023,2,2023-02-14 12:00:00.000000000,100.42857142857143,41.142857142857146,8.6,9.0,,
74,2023,3,2023-03-16 00:00:00.000000000,101.25806451612904,47.774193548387096,,1.8571428571428572,,
75,2023,4,2023-04-15 12:00:00.000000000,104.3,41.233333333333334,,1.0,,
76,2023,5,2023-05-16 00:00:00.000000000,73.93548387096774,33.354838709677416,,,,
77,2023,6,2023-06-15 12:00:00.000000000,54.0,25.933333333333334,,,,
78,2023,7,2023-07-16 00:00:00.000000000,51.806451612903224,21.22222222222222,,,,
79,2023,8,2023-08-16 00:00:00.000000000,58.806451612903224,,,,,
80,2023,9,2023-09-15 12:00:00.000000000,51.733333333333334,,,,,
81,2023,10,2023-10-16 00:00:00.000000000,74.12903225806451,,,,,
82,2023,11,2023-11-15 12:00:00.000000000,88.13333333333334,,,,,
83,2023,12,2023-12-16 00:00:00.000000000,94.7741935483871,,,,,
