0,0,26.5,16.77777777777778,54.8,16.0934,1015.917,0.0,1,2016,1
1,1,26.55555555555556,17.22222222222222,57.3,9.334172,1015.917,0.0,1,2016,2
2,2,27.83333333333333,17.27777777777778,53.9,7.885766,1015.917,0.0,1,2016,3
3,3,28.444444444444443,17.77777777777778,55.4,7.0810960000000005,1012.53061,0.0,1,2016,4
4,4,28.666666666666668,18.72222222222222,58.0,7.563898,1012.53061,0.0,1,2016,5
5,5,28.111111111111107,20.38888888888889,64.3,7.885766,1012.53061,0.0,1,2016,6
6,6,28.277777777777786,22.22222222222222,71.5,5.793624,1012.53061,0.0,1,2016,7
7,7,27.16666666666667,22.11111111111111,74.6,6.920162,1012.53061,0.0,1,2016,8
8,8,26.611111111111114,20.72222222222222,68.9,12.391918,1012.53061,0.0,1,2016,9
9,9,28.5,21.27777777777778,67.2,12.07005,1012.53061,0.0,1,2016,10
10,10,28.277777777777786,21.22222222222222,67.5,9.495106,1012.53061,0.0,1,2016,11
11,11,28.22222222222222,20.38888888888889,64.5,8.690436,1012.53061,0.0,1,2016,12
12,12,28.111111111111107,22.16666666666667,71.1,8.368568,1012.53061,0.0,1,2016,13
13,13,29.05555555555556,22.61111111111111,69.3,10.782578,1012.53061,0.0,1,2016,14
14,14,29.166666666666668,22.83333333333333,69.3,12.07005,1009.14422,0.0,1,2016,15
15,15,28.444444444444443,22.722222222222225,71.5,12.87472,1009.14422,0.0,1,2016,16
16,16,29.55555555555556,22.722222222222225,67.9,12.552852,1009.14422,0.0,1,2016,17
17,17,29.444444444444443,23.55555555555556,71.8,12.391918,1009.14422,0.0,1,2016,18
18,18,29.55555555555556,23.5,70.9,14.644994,1009.14422,0.0,1,2016,19
19,19,29.0,23.22222222222222,72.4,12.552852,1012.53061,0.0,1,2016,20
20,20,29.27777777777778,23.833333333333336,73.3,11.426314,1012.53061,0.0,1,2016,21
21,21,29.444444444444443,22.944444444444443,69.4,10.621644,1012.53061,0.0,1,2016,22
22,22,29.166666666666668,23.33333333333333,72.4,9.977908,1012.53061,0.0,1,2016,23
23,23,24.83333333333333,18.444444444444443,68.1,21.243288,1015.917,0.0,1,2016,24
24,24,18.22222222222222,9.444444444444445,57.0,20.599552000000003,1019.30339,0.0,1,2016,25
25,25,19.83333333333333,9.77777777777778,53.1,18.024608,1019.30339,0.0,1,2016,26
26,26,21.55555555555556,13.166666666666668,60.0,15.932466,1015.917,0.0,1,2016,27
27,27,24.5,15.666666666666666,59.0,10.46071,1012.53061,0.0,1,2016,28
28,28,27.666666666666668,18.833333333333336,59.6,8.207633999999999,992.21227,0.0,1,2016,29
29,29,28.72222222222222,22.61111111111111,71.1,11.748182,1012.53061,0.0,1,2016,30
30,30,28.666666666666668,23.33333333333333,74.7,14.48406,1012.53061,0.0,1,2016,31
0,0,29.27777777777778,23.000000000000004,70.1,9.977908,1012.53061,0.0,2,2016,1
1,1,28.33333333333333,21.55555555555556,67.7,12.230984,1012.53061,0.0,2,2016,2
2,2,27.38888888888889,17.055555555555557,53.8,13.035654,1012.53061,0.0,2,2016,3
3,3,27.666666666666668,17.5,54.6,11.426314,1012.53061,0.0,2,2016,4
4,4,28.666666666666668,16.77777777777778,49.8,12.07005,1012.53061,0.0,2,2016,5
5,5,26.5,13.61111111111111,45.6,21.243288,1012.53061,0.0,2,2016,6
6,6,22.11111111111111,6.611111111111111,37.0,24.783836,1019.30339,0.0,2,2016,7
7,7,21.0,6.944444444444445,40.8,18.346476,1015.917,0.0,2,2016,8
8,8,22.944444444444443,10.5,47.8,9.012304,1015.917,0.0,2,2016,9
9,9,24.944444444444446,12.5,48.5,7.563898,1012.53061,0.0,2,2016,10
